Condensed Consolidated Statements of Cash Flows - USD ($),"Sep. 30, 2023","Mar. 31, 2023","Sep. 30, 2022","Mar. 31, 2022","Sep. 30, 2023","Sep. 30, 2022","Dec. 31, 2022"
Depreciation,"1,495,000",0,"3,449,000",0,"10,632,000","9,020,000",0
Non-cash operating lease expense,0,0,0,0,"2,504,000","1,515,000",0
Non-cash commitment fee under SEPA,0,0,0,0,0,"582,000",0
Inventory write-downs,"400,000",0,0,0,"366,000",0,$ 0
Non-cash legal settlement,0,0,0,0,0,"5,532,000",0
Stock-based compensation expense,0,0,0,0,"23,451,000","60,980,000",0
Gain on fair value change of contingent earnout shares liability,"(279,000)",0,"2,067,000",0,"(2,843,000)","(22,869,000)",0
Gain on fair value change in warrants liability,0,0,0,0,"(37,093,000)",0,0
Gain on fair value change in derivative liability,0,0,0,0,"(2,998,000)",0,0
Loss on extinguishment of debt,"2,573,000",0,"4,095,000",0,"30,261,000","4,095,000",0
Loss on fair value change in derivative asset,"3,761,000",0,0,0,"3,761,000",0,0
Loss on fair value change in convertible debt,"69,615,000",0,0,0,"69,615,000",0,0
Non-cash debt discount,0,0,0,0,"5,010,000","900,000",0
Non-cash interest expense,0,0,0,0,"2,234,000","1,316,000",0
Other,0,0,0,0,"839,000",0,0
